delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,condition,n_total,n_train,n_test,n_cell_types,heterogeneity_entropy,seed,elapsed_sec
0.08018763867207208,0.7694566230812917,-3.343552165027347,-3.386812988937508,0.706696410894235,0.1821857862959065,full_all_lineages,90261,72208,18053,45,3.068815429044354,0,55.6
0.07679763860062429,0.7716239316239316,-3.5635320825685577,-3.5585879879685023,1.0173023761191808,0.20752136752136752,single_lineage_T_CD4,14621,11696,2925,5,1.0738266118045654,0,7.4
0.05474934530315231,0.6955555555555556,-3.6088736199677744,-3.6090510518118206,0.9096396810784017,0.22803418803418804,matchedN_for_T_CD4,14621,11696,2925,45,3.0713183823320187,0,7.3
0.11133437932500306,0.7498859240427092,-3.4163614452639783,-3.432056906910527,0.9503777422507851,0.1828410689170183,single_lineage_T_CD8,10663,8530,2133,9,1.982209419047319,0,5.9
0.06202432307674725,0.6924495718376524,-3.550434614127232,-3.5414311308512927,0.8494201861080739,0.27566807313642755,matchedN_for_T_CD8,10663,8530,2133,45,3.0539561948418195,0,6.2
0.07750180923052911,0.7354107908918298,-3.3567266162480784,-3.3842059273038605,0.9005838964997528,0.12042745581586518,single_lineage_Myeloid_Mono,24328,19462,4866,2,0.34297030561431674,0,14.9
0.06342415932931608,0.7377706023602866,-3.5626583313164484,-3.5806885704688463,0.8239213892155083,0.2209206740649404,matchedN_for_Myeloid_Mono,24328,19462,4866,45,3.079496220921922,0,15.1
0.07039682075534223,0.7062966593186916,-3.6040933862299265,-3.6026022137637645,1.1364947745633154,0.15868596881959912,single_lineage_B_cell,8977,7181,1796,5,1.4009816777728343,0,4.7
0.05760507823194254,0.6890384742039587,-3.6165808226162626,-3.606605467840706,0.9850372067786916,0.22216035634743875,matchedN_for_B_cell,8977,7181,1796,45,3.090627989894432,0,4.7
0.07721395487015598,0.7513466042154567,-3.6331041497458965,-3.6353203431929266,1.258918716561389,0.14532459797498512,single_lineage_NK_ILC,8391,6712,1679,4,0.9110726042042877,0,4.1
0.05307019341553514,0.6780853026754665,-3.634452304300109,-3.6295296042660805,1.0389147125008589,0.22156045265038712,matchedN_for_NK_ILC,8391,6712,1679,45,3.0890168363605173,0,4.3
