seed,alpha_mf,alpha_multimodal,model,recall@5,hitrate@5,ndcg@5,recall@10,hitrate@10,ndcg@10,recall@20,hitrate@20,ndcg@20,mrr,evaluated_positives,catalog_coverage@10,candidate_coverage@10,unique_recommended@10,long_tail_recall@10,long_tail_positive_count,mean_train_positive_popularity@10,long_tail_popularity_threshold
42,0.0,1.0,multimodal_only,0.6538461538461539,0.6538461538461539,0.4696524314551218,0.8025841346153846,0.8025841346153846,0.5182134211818499,0.8916266025641025,0.8916266025641025,0.5410023315816097,0.4382907281846823,9984,0.1595573203333857,0.2673847876931186,8117,0.2713178294573643,645,123.4726061698718,1.0
42,0.4,0.6,mf_multimodal_balanced,0.6859975961538461,0.6859975961538461,0.5182560690697621,0.8178084935897436,0.8178084935897436,0.5610212378836362,0.9131610576923076,0.9131610576923076,0.5853247403061393,0.4895245537817079,9984,0.1132253498977826,0.1897420693744441,5760,0.0387596899224806,645,137.80152243589745,1.0
42,0.5,0.5,mf_multimodal_accuracy,0.6837940705128205,0.6837940705128205,0.5159400884159052,0.8166065705128205,0.8166065705128205,0.5589681855086954,0.9145633012820512,0.9145633012820512,0.5838904839734358,0.487367265914505,9984,0.1071709388268595,0.1795961392759495,5452,0.0124031007751937,645,139.02279647435898,1.0
42,1.0,0.0,mf_only,0.6664663461538461,0.6664663461538461,0.4961480889099883,0.7967748397435898,0.7967748397435898,0.5385632462807806,0.8948317307692307,0.8948317307692307,0.5635608942968383,0.467079463452456,9984,0.0975389212140273,0.1634548868465263,4962,0.0,645,140.95023036858976,1.0
7,0.0,1.0,multimodal_only,0.6578525641025641,0.6578525641025641,0.4703957825162294,0.8039863782051282,0.8039863782051282,0.5178567545167577,0.8917267628205128,0.8917267628205128,0.540244175764604,0.4371765373217509,9984,0.1582796037112753,0.2652436011463583,8052,0.2744186046511628,645,123.79976963141026,1.0
7,0.4,0.6,mf_multimodal_balanced,0.6869991987179487,0.6869991987179487,0.519939001764556,0.8151041666666666,0.8151041666666666,0.5614300069435776,0.911658653846154,0.911658653846154,0.5861275569326984,0.491124452338875,9984,0.1133039786129894,0.1898738347003986,5764,0.0310077519379844,645,137.81796875,1.0
7,0.5,0.5,mf_multimodal_accuracy,0.6842948717948718,0.6842948717948718,0.5170363838701183,0.8147035256410257,0.8147035256410257,0.5591912480440241,0.9138621794871796,0.9138621794871796,0.5844941064612629,0.4884003689760972,9984,0.1072888818996697,0.1797937872648812,5458,0.0108527131782945,645,139.0124799679487,1.0
7,1.0,0.0,mf_only,0.6646634615384616,0.6646634615384616,0.4947833356654526,0.7955729166666666,0.7955729166666666,0.5373103515995976,0.8942307692307693,0.8942307692307693,0.5624158185007082,0.4658697204920979,9984,0.0970868061015883,0.1626972362222881,4939,0.0,645,140.9609375,1.0
2026,0.0,1.0,multimodal_only,0.6586538461538461,0.6586538461538461,0.4716238064374133,0.8051883012820513,0.8051883012820513,0.5193237653122734,0.8921274038461539,0.8921274038461539,0.5414668178631524,0.4386850641824911,9984,0.1585548042144991,0.265704779787199,8066,0.2775193798449612,645,123.87152443910256,1.0
2026,0.4,0.6,mf_multimodal_balanced,0.6864983974358975,0.6864983974358975,0.5179180118902875,0.8167067307692307,0.8167067307692307,0.5601643422117976,0.9145633012820512,0.9145633012820512,0.5851432881734916,0.4888359499131184,9984,0.1135202075798081,0.1902361893467734,5775,0.0325581395348837,645,137.8694611378205,1.0
2026,0.5,0.5,mf_multimodal_accuracy,0.6834935897435898,0.6834935897435898,0.5147076826083988,0.8169070512820513,0.8169070512820513,0.5579175154516708,0.9131610576923076,0.9131610576923076,0.5825001049944171,0.4859195361226562,9984,0.1080358546941342,0.1810455578614487,5496,0.0108527131782945,645,139.08494591346152,1.0
2026,1.0,0.0,mf_only,0.6657652243589743,0.6657652243589743,0.4936455352186302,0.7956730769230769,0.7956730769230769,0.5358495078807468,0.8951322115384616,0.8951322115384616,0.5611601124015657,0.4638546771255907,9984,0.0975192640352256,0.1634219455150377,4961,0.0,645,140.97274639423077,1.0
