genre,prototype_row,game_count
Action,0,16550
Adventure,1,16430
Animation & Modeling,2,224
Audio Production,3,93
Casual,4,14671
Design & Illustration,5,276
Early Access,6,2832
Education,7,161
Free To Play,8,4620
Game Development,9,120
Gore,10,150
Indie,11,27906
Massively Multiplayer,12,1181
Nudity,13,71
Photo Editing,14,62
RPG,15,7680
Racing,16,1447
Sexual Content,17,57
Simulation,18,8748
Software Training,19,92
Sports,20,1789
Strategy,21,8196
Utilities,22,411
Video Production,23,127
Violent,24,234
Web Publishing,25,60
