tag,game_count
Indie,27957
Singleplayer,22566
Action,21897
Adventure,20183
Casual,17844
Simulation,12691
2D,11438
Strategy,11093
RPG,10156
Atmospheric,8688
Puzzle,7585
Story Rich,7149
Multiplayer,6575
3D,6142
Pixel Graphics,6028
Exploration,5769
Cute,5702
Colorful,5693
Free to Play,5645
First-Person,5570
Early Access,5308
Fantasy,5174
Anime,5002
Funny,4956
Horror,4789
Arcade,4502
Shooter,4389
Family Friendly,4286
Female Protagonist,4222
Retro,4153
Sci-fi,4113
Platformer,3998
Difficult,3923
Relaxing,3922
Great Soundtrack,3912
Violent,3676
Open World,3603
Action-Adventure,3367
Survival,3265
Visual Novel,3241
Co-op,3214
Gore,3185
Third Person,3174
Comedy,3125
VR,3098
FPS,3044
Psychological Horror,2879
Stylized,2874
Realistic,2838
Point & Click,2773
Controller,2758
Sandbox,2739
Mystery,2737
Choices Matter,2641
Top-Down,2603
Dark,2570
Sports,2542
PvP,2538
Physics,2519
Combat,2387
Multiple Endings,2357
Minimalist,2322
Sexual Content,2294
Nudity,2272
Management,2254
Cartoony,2245
Building,2150
Racing,2100
2D Platformer,2096
Side Scroller,2085
Linear,2048
Tactical,2037
Space,2022
Roguelike,2012
Character Customization,1989
Hand-drawn,1860
Turn-Based Strategy,1841
Action RPG,1821
Roguelite,1804
Massively Multiplayer,1779
Online Co-Op,1771
Puzzle Platformer,1736
Local Multiplayer,1728
Replay Value,1662
Survival Horror,1645
Magic,1638
Turn-Based,1596
Hidden Object,1594
Old School,1591
Crafting,1590
Logic,1576
Turn-Based Combat,1568
Historical,1557
Procedural Generation,1552
PvE,1530
Interactive Fiction,1521
Drama,1520
Choose Your Own Adventure,1508
Walking Simulator,1498
JRPG,1491
Shoot 'Em Up,1471
Turn-Based Tactics,1465
Hack and Slash,1449
Medieval,1428
3D Platformer,1419
Futuristic,1418
Local Co-Op,1399
Zombies,1387
Resource Management,1385
War,1358
Cartoon,1357
Short,1349
Dungeon Crawler,1324
Bullet Hell,1322
Classic,1316
Surreal,1306
Emotional,1292
Romance,1278
Isometric,1263
Dark Fantasy,1240
Education,1238
RTS,1236
Memes,1226
Base Building,1211
Immersive Sim,1209
1990's,1205
Post-apocalyptic,1192
Fast-Paced,1175
Action Roguelike,1174
Stealth,1172
Text-Based,1127
Dating Sim,1091
Military,1065
Card Game,1029
Nature,1024
Score Attack,1012
Narration,1006
Detective,994
Economy,992
RPGMaker,987
Driving,981
Mature,979
Board Game,965
Top-Down Shooter,940
Abstract,936
Clicker,936
City Builder,930
2.5D,922
Third-Person Shooter,915
Cyberpunk,909
Dark Humor,901
Tower Defense,889
LGBTQ+,879
Soundtrack,872
Investigation,869
Time Management,857
Life Sim,844
Cinematic,841
Music,836
Psychological,821
Perma Death,819
1980s,815
Robots,815
Tabletop,812
Strategy RPG,808
Flight,794
Experimental,782
Fighting,780
Real Time Tactics,776
Precision Platformer,762
4 Player Local,759
Thriller,750
Team-Based,748
Aliens,741
Competitive,734
Wargame,720
Psychedelic,716
Automobile Sim,714
Moddable,713
Metroidvania,712
Beat 'em up,704
Tactical RPG,701
Conversation,698
Demons,693
Arena Shooter,687
Hentai,647
Supernatural,640
World War II,636
Level Editor,631
Lore-Rich,620
Idler,604
Dystopian,603
Utilities,603
Design & Illustration,598
Nonlinear,594
Party-Based RPG,587
Loot,581
Comic Book,574
Souls-like,571
Twin Stick Shooter,556
Beautiful,554
Artificial Intelligence,546
Collectathon,544
Tutorial,539
Rhythm,537
Runner,534
Destruction,533
Cats,530
Parkour,530
Grand Strategy,529
Alternate History,527
Modern,527
Deckbuilding,506
2D Fighter,501
CRPG,498
Crime,493
Grid-Based Movement,487
Card Battler,482
Mythology,472
Inventory Management,446
Space Sim,446
Lovecraftian,444
Dark Comedy,440
Philosophical,428
Noir,421
Mouse only,411
NSFW,407
Colony Sim,405
MMORPG,405
Match 3,402
eSports,392
Swordplay,379
Science,374
Word Game,372
Character Action Game,370
Farming Sim,366
Split Screen,363
Software,361
Steampunk,353
Voxel,345
Animation & Modeling,342
Automation,341
Blood,338
Mechs,338
4X,335
3D Fighter,334
Parody,329
Addictive,326
Dragons,322
Agriculture,319
Cult Classic,318
Battle Royale,316
Open World Survival Craft,316
Mystery Dungeon,315
Political,313
Hex Grid,309
Real-Time,307
Trains,307
6DOF,305
Creature Collector,301
Spectacle fighter,301
FMV,300
Remake,298
Capitalism,294
Vehicular Combat,292
Game Development,291
God Game,291
Otome,291
Solitaire,290
Co-op Campaign,289
3D Vision,287
Trading,285
Tanks,280
Class-Based,278
America,277
Time Manipulation,277
Gothic,276
Combat Racing,267
Satire,267
Bullet Time,264
Pirates,263
Martial Arts,261
Hero Shooter,258
Gun Customization,257
Real-Time with Pause,257
Trading Card Game,257
Sokoban,252
Time Travel,252
Conspiracy,250
Cooking,248
Auto Battler,245
Ninja,244
Hunting,242
Dinosaurs,241
Dog,241
Programming,237
Hacking,234
Political Sim,229
Naval,224
Underwater,222
Vampire,222
Escape Room,221
Western,220
Politics,219
Underground,216
Faith,215
Touch-Friendly,214
Narrative,212
Mining,209
Dynamic Narration,206
Fishing,206
Illuminati,199
Quick-Time Events,197
Cold War,195
Immersive,190
Video Production,189
Asynchronous Multiplayer,188
Party Game,187
MOBA,178
Looter Shooter,174
Minigames,174
Transportation,173
Superhero,172
Villain Protagonist,170
Assassin,167
Kickstarter,166
