app_id,train_positive_count
10,343
20,62
30,54
40,18
50,188
60,44
70,795
80,137
130,140
220,1239
240,918
280,86
300,132
320,116
340,122
380,295
400,821
420,343
440,2855
500,325
550,1705
570,686
620,1632
630,144
730,848
1002,2
1200,20
1250,460
1300,5
1313,3
1500,8
1510,28
1520,26
1530,7
1600,2
1610,2
1630,5
1640,3
1670,2
1700,11
1900,5
1930,27
2100,61
2200,22
2210,18
2270,42
2280,121
2300,57
2310,81
2320,23
2360,3
2370,1
2390,9
2400,56
2420,11
2450,8
2500,11
2520,1
2540,7
2590,9
2600,81
2610,10
2620,34
2630,44
2640,10
2700,34
2710,3
2780,2
2800,2
2820,16
2840,2
2870,25
2900,1
2990,128
3010,3
3020,23
3050,2
3130,9
3170,4
3260,3
3270,9
3300,4
3310,4
3320,40
3330,19
3350,1
3380,1
3390,11
3400,1
3430,4
3450,1
3460,1
3480,32
3483,6
3510,1
3540,10
3560,4
3590,647
3600,2
3620,14
3700,16
3710,9
3720,22
3730,11
3800,1
3810,10
3820,3
3830,134
3900,30
3910,20
3920,33
3960,2
3980,2
3990,3
4000,1455
4500,270
4530,2
4560,37
4570,82
4580,47
4700,157
4720,40
4760,62
4800,3
4850,11
4870,2
4880,3
4890,3
4900,1
4920,70
6000,100
6010,7
6020,88
6030,31
6040,3
6060,366
6080,4
6090,3
6120,36
6200,12
6210,1
6220,43
6250,4
6270,2
6300,8
6310,14
6370,8
6400,1
6420,4
6510,9
6550,18
6800,21
6810,3
6830,9
6840,11
6850,30
6860,85
6870,6
6880,34
6900,20
6910,117
6920,9
6980,13
7000,45
7010,4
7020,2
7110,7
7200,17
7210,4
7220,2
7510,19
7520,38
7530,7
7600,9
7610,5
7620,4
7650,5
7660,8
7670,107
7730,1
7760,19
7770,3
7800,13
7830,21
7860,6
7940,133
8000,47
8080,20
8100,4
8140,36
8170,11
8190,430
8260,1
8330,2
8400,7
8500,176
8600,12
8690,1
8790,1
8800,16
8850,116
8870,1018
8880,5
8890,3
8930,810
8980,275
9010,61
9060,2
9180,13
9200,107
9310,8
9340,6
9350,10
9420,78
9450,85
9460,7
9480,121
9710,1
9760,3
9800,3
9880,17
9900,104
9940,7
9980,1
10090,329
10110,5
10130,11
10140,1
10150,83
10180,315
10220,1
10230,1
10270,5
10460,2
10500,136
10680,133
11040,1
11050,2
11130,2
11140,4
11150,3
11190,4
11200,6
11230,3
11240,1
11260,2
11280,17
11340,5
11360,9
11370,1
11390,19
11450,47
11480,1
11550,2
11560,1
11590,1
11610,3
12130,26
12140,106
12150,64
12180,2
12200,184
12210,768
12220,77
12320,16
12330,7
12360,29
12390,4
12460,1
12480,1
12500,10
12520,2
12560,1
12640,1
12690,1
12710,14
12770,3
12790,2
12810,27
12830,12
12900,116
13500,22
13520,52
13530,13
13540,9
13560,16
13570,35
13580,8
13600,21
15000,2
15080,12
15100,116
15120,34
15130,29
15170,18
15190,7
15200,4
15210,11
15270,14
15300,16
15320,17
15370,9
15390,9
15500,8
15520,6
15560,13
15620,67
15710,10
15740,7
15750,10
15900,4
15970,1
16030,1
16120,1
16300,1
16450,59
16600,1
16620,1
16710,3
16720,10
16730,17
16810,2
16900,69
17100,1
17120,1
17140,2
17330,43
17390,283
17410,274
17440,8
17460,101
17470,204
17480,65
17500,31
17510,12
17530,7
17570,40
17580,9
17700,22
17710,18
17740,6
18000,7
18020,2
18040,5
18050,2
18070,1
18120,2
18300,3
18420,4
18500,38
18600,1
18700,11
18820,5
19000,6
19030,1
19200,3
19680,73
19800,1
19830,14
19900,91
19980,22
20500,60
20510,120
20530,20
20540,14
20550,8
20570,19
20710,1
20820,11
20900,430
20920,570
21000,47
21010,4
21030,2
21090,115
21100,71
21130,59
21300,1
21600,1
21640,2
21660,1
21670,11
21680,4
21690,276
21780,8
21800,3
21980,32
22000,42
22100,54
22120,18
22130,4
22180,47
22200,32
22230,39
22300,129
22310,8
22320,215
22330,325
22340,13
22350,47
22370,273
22380,1191
22450,8
22500,2
22600,34
22610,13
22650,6
22670,5
23300,1
23380,3
23400,2
23420,4
23450,4
23490,12
23530,8
23700,2
24010,63
24200,87
24240,298
24400,2
24420,11
24480,1
24670,1
24720,37
24780,35
24790,33
24800,21
24810,9
25000,44
25010,4
25600,3
25620,2
25700,3
25800,8
25830,15
25850,1
25890,20
25900,21
25930,2
25980,5
25990,7
26500,4
26800,82
26900,14
27000,6
27020,7
27050,2
27400,1
27800,2
27920,1
27940,2
28000,58
29130,3
29160,1
29180,11
29800,29
29900,4
31100,4
31170,3
31220,6
31270,32
31500,2
31700,2
31810,1
31820,1
31830,2
31860,2
31880,1
31890,1
31910,3
31920,1
32140,1
32150,2
32160,2
32200,1
32330,18
32340,1
32350,2
32360,28
32370,151
32380,21
32390,3
32400,26
32420,5
32430,49
32440,148
32450,12
32460,14
32470,135
32500,35
32510,51
32610,1
32620,3
32630,5
32640,2
32650,1
32660,3
32680,2
32710,1
32720,1
32750,2
32760,1
32900,1
33100,30
33110,3
33120,24
33130,9
33180,7
33220,33
33230,273
33320,8
33390,1
33460,14
33520,5
33570,3
33600,8
33610,4
33620,4
33650,4
33670,1
33680,17
33730,4
33770,2
33900,15
33930,159
33950,1
33990,1
34030,95
34190,14
34270,82
34330,197
34410,1
34420,1
34600,6
34640,1
34810,1
34820,5
34830,40
34870,126
34900,102
34920,1
35000,36
35070,3
35130,38
35140,366
35310,2
35320,10
35450,250
35460,6
35480,6
35600,1
35700,136
35720,131
35800,2
36000,2
37000,5
37260,1
37400,5
37500,1
37600,13
38210,3
38400,122
38410,104
38420,13
38430,3
38440,1
38450,1
38460,1
38490,1
38600,17
38700,17
38720,14
38740,21
39000,104
39120,53
39140,129
39150,41
39160,15
39190,17
39200,9
39210,308
39500,56
39510,62
39520,1
39530,22
39540,10
39550,5
39560,1
39630,3
39650,5
39660,1
39670,3
39680,33
39690,15
39800,20
40100,56
40300,61
40330,1
40350,2
40380,11
40390,35
40400,20
40420,4
40700,85
40720,17
40800,295
40930,4
40950,56
40960,14
40970,94
40980,11
40990,70
41000,58
41050,27
41060,12
41070,213
41100,4
41300,15
41500,58
41700,185
41730,1
41740,4
41800,4
41900,5
42120,20
42140,1
42170,4
42210,3
42220,2
42500,5
42670,48
42680,209
42700,271
42810,1
42890,6
42910,217
42960,77
42980,2
42990,2
43000,6
43190,12
44100,1
44690,1
45000,2
45100,11
45300,6
45400,7
45410,1
45450,5
45700,21
45720,1
45740,52
45750,16
45760,87
45770,33
46000,2
46200,1
46250,1
46260,2
46280,1
46340,4
46360,1
46370,2
46400,2
46410,5
46450,2
46460,1
46480,3
46490,1
46500,37
46510,18
46520,4
46540,5
46550,1
46560,7
46570,2
46600,1
46740,1
47110,1
47400,5
47410,25
47780,153
47790,40
47810,113
47870,121
47890,162
47920,6
48000,359
48110,7
48190,125
48220,19
48240,52
48700,947
48720,88
48800,5
48950,6
49000,1
49300,1
49520,1602
49600,81
49800,3
49810,1
49900,3
50130,371
50300,459
50620,124
55000,2
55040,17
55100,86
55110,34
55140,23
55150,210
55230,558
56400,80
57000,2
57200,3
57300,279
57600,4
57620,1
57640,18
57650,1
57680,10
57690,98
57700,4
57740,4
57800,1
57900,53
58200,8
58230,1
58520,5
58550,1
58560,6
58570,4
58610,16
60340,1
60600,1
61100,5
61310,3
61500,5
61510,2
61520,2
61600,6
61730,3
62000,3
62100,7
63000,9
63110,4
63200,9
63500,16
63610,5
63660,4
63700,14
63710,25
63800,3
63900,1
63910,5
63940,7
63950,3
63960,1
64000,36
65070,1
65080,1
65270,1
65300,15
65400,4
65500,2
65530,1
65540,63
65560,5
65600,2
65610,2
65700,2
65720,2
65730,4
65740,9
65780,9
65790,54
65800,98
65930,96
65980,63
67000,5
67370,163
70000,121
70100,9
70110,3
70120,1
70200,1
70210,2
70300,91
70400,64
70420,7
70600,42
70620,2
70640,8
70660,3
70900,3
71230,30
71240,10
71250,74
71260,17
71340,161
71390,5
72000,8
72400,3
72900,5
73010,7
73020,11
73170,10
73190,1
73210,3
73220,1
78000,47
80000,1
80200,3
80310,16
80330,16
80340,7
80350,4
80360,6
90200,4
90400,1
91100,11
91200,36
91330,4
91600,34
91700,60
91800,3
91810,1
91900,13
92000,24
92100,12
92300,12
92400,1
92600,2
92800,44
93200,8
94000,6
94200,27
94300,12
94400,41
94590,13
94620,3
95300,8
95400,41
95700,10
95900,2
96000,33
96100,65
96200,2
96800,1
96900,1
97000,19
97120,1
98100,7
98200,24
98300,13
98400,42
98500,4
98600,4
98800,51
98900,3
99400,3
99700,14
99900,139
99910,6
102200,1
102600,66
102810,1
102840,21
102850,2
104000,2
104200,38
104600,7
104900,172
105000,10
105300,5
105450,158
105600,1188
105700,3
105800,9
107100,315
107200,19
107300,11
107310,36
107410,1082
107600,10
108200,16
108500,6
108600,641
108700,4
108710,350
108800,97
109500,2
109600,126
109700,2
110500,2
110600,1
110610,1
110800,211
111010,1
111100,2
111400,1
111600,10
111800,5
112100,8
113020,86
113200,415
113400,143
113420,22
115100,27
115110,18
115120,9
115200,1
115210,2
115320,105
115800,44
116100,3
116120,2
200010,18
200020,1
200130,2
200170,46
200190,1
200210,243
200230,2
200260,416
200370,7
200390,1
200490,1
200510,489
200550,1
200710,280
200900,72
200910,12
200960,5
200980,1
201000,1
201070,1
201210,2
201230,5
201290,2
201310,9
201420,7
201480,1
201510,5
201570,13
201790,120
201810,402
201870,117
202130,1
202200,4
202310,10
202370,1
202530,8
202670,1
202690,1
202710,5
202730,6
202750,56
202970,269
203140,336
203160,1324
203210,11
203290,50
203350,8
203510,6
203560,2
203630,20
203650,17
203750,63
203770,498
203830,17
203990,2
204030,45
204060,24
204100,323
204120,23
204180,18
204220,2
204240,38
204300,193
204340,89
204360,748
204390,1
204440,1
204450,262
204530,25
204630,25
204860,5
204880,93
204940,2
205020,7
205100,715
205230,36
205550,2
205610,3
205650,18
205690,5
205710,6
205730,9
205830,3
205840,9
205870,2
205910,43
205950,66
205990,3
206020,1
206060,1
206190,165
206250,2
206370,12
206420,572
206440,504
206480,25
206500,55
206610,3
206690,5
206760,1
207000,2
207020,3
207040,12
207080,29
207140,232
207170,41
207190,1
207230,32
207250,4
207320,12
207350,19
207420,7
207430,6
207490,33
207530,5
207570,5
207610,528
207650,6
207670,2
207690,40
207710,1
207750,9
207930,5
208140,51
208200,65
208400,10
208580,101
208600,8
208620,1
208650,566
208670,20
208710,1
208730,17
208750,27
209000,331
209060,8
209080,95
209120,18
209160,87
209190,7
209230,2
209330,5
209360,1
209370,14
209540,9
209630,5
209650,110
209670,48
209690,3
209730,1
209750,1
209790,9
209830,15
209950,6
210170,3
210230,2
210770,111
210950,3
210970,129
211010,2
211160,19
211180,4
211340,3
211360,6
211400,84
211440,11
211500,53
211580,2
211600,38
211740,15
211780,6
211800,1
211820,447
212010,9
212030,6
212050,4
212070,58
212110,6
212160,53
212200,18
212390,6
212410,3
212480,138
212500,70
212630,34
212680,361
212780,2
212800,44
213030,9
213330,41
213610,136
213650,11
213670,432
214100,1
214150,2
214170,23
214250,18
214340,71
214360,9
214420,61
214490,386
214510,86
214550,8
214570,2
214590,8
214700,10
214730,27
214770,57
214790,15
214830,15
214870,39
214910,2
214950,254
214970,20
215080,40
215100,8
215160,7
215280,37
215470,39
215510,13
215530,86
215630,5
215670,13
215690,10
215710,3
215770,2
215790,3
215830,26
215870,1
215930,2
216090,8
216130,1
216150,40
216260,2
216290,2
216670,1
216890,10
216910,6
217100,6
217120,1
217140,23
217200,74
217270,3
217290,3
217690,9
217750,11
217790,10
217920,22
218020,3
218060,27
218090,4
218230,379
218410,29
218510,8
218620,1285
218640,80
218660,1
218680,98
218700,1
218740,24
218760,3
218820,8
219150,690
219190,8
219200,2
219640,382
219680,16
219700,2
219740,525
219760,4
219780,31
219830,33
219890,136
219910,33
219950,18
219990,479
220090,4
220160,8
220200,658
220240,579
220260,24
220420,1
220440,221
220460,9
220660,4
220700,24
220740,21
220780,75
220820,28
220860,38
220900,4
221020,6
221040,317
221100,628
221180,7
221260,86
221380,474
221540,25
221640,192
221680,100
221810,13
221830,3
221910,388
222140,7
222160,3
222420,23
222440,25
222480,90
222500,1
222520,2
222640,5
222660,6
222730,25
222750,24
222880,350
222940,61
222980,25
223000,3
223100,85
223220,21
223330,3
223410,4
223450,1
223470,762
223490,3
223510,10
223710,306
223730,4
223750,106
223810,18
223830,30
223850,87
224000,3
224040,3
224260,430
224460,33
224480,66
224500,18
224580,5
224760,97
224820,13
224860,1
224900,3
224940,6
224960,40
224980,5
225000,2
225020,6
225080,302
225160,29
225260,142
225280,10
225300,20
225320,7
225360,2
225420,11
225540,874
225600,28
225640,18
225840,252
226100,6
226120,3
226560,5
226620,10
226720,21
226740,9
226780,1
226840,66
226860,21
226960,3
227000,18
227020,1
227060,1
227080,25
227100,33
227160,3
227180,4
227200,12
227220,12
227300,1065
227380,7
227560,2
227580,27
227600,29
227760,1
227780,34
227860,39
227940,53
228180,12
228200,77
228260,11
228280,67
228300,137
228320,1
228360,24
228380,189
228760,14
228960,4
229480,13
229520,5
229580,3
229600,2
229810,3
229870,7
229890,1
230050,57
230070,27
230150,6
230190,40
230230,58
230270,35
230290,137
230330,1
230410,1171
230700,21
230820,17
230840,11
230860,5
230980,3
231020,1
231040,5
231060,5
231140,5
231160,64
231200,13
231310,2
231330,9
231430,393
231740,23
232010,56
232050,7
232090,931
232430,134
232750,13
232770,84
232790,31
232890,68
232910,27
232950,4
232970,6
233130,254
233150,42
233190,9
233230,13
233270,132
233290,114
233310,1
233350,2
233410,2
233450,431
233470,55
233510,2
233550,20
233610,71
233680,2
233700,14
233720,105
233740,40
233840,15
233860,465
233980,53
234080,75
234140,506
234160,6
234190,38
234270,41
234290,1
234330,16
234390,17
234490,9
234650,72
234670,70
234820,2
234900,12
234920,2
234940,19
235070,2
235210,23
235250,15
235320,12
235360,6
235380,18
235460,495
235520,2
235540,130
235600,105
235620,3
235660,4
235720,5
235780,16
235800,63
235820,4
235900,6
235980,2
236090,151
236110,114
236150,14
236370,36
236390,442
236430,214
236450,51
236510,17
236690,31
236730,8
236790,2
236850,281
236930,4
237310,27
237370,3
237430,9
237550,1
237570,7
237630,51
237740,35
237760,3
237850,49
237870,22
237890,13
237930,204
237950,1
237990,131
238010,232
238050,1
238090,134
238210,56
238240,9
238260,19
238280,8
238320,803
238370,80
238430,94
238460,549
238530,3
238630,4
238750,11
238870,1
238890,1
238910,14
238930,2
238960,879
239030,533
239070,69
239090,3
239120,32
239140,942
239160,138
239200,63
239250,32
239350,111
239430,13
