user_id,model,rank,app_id,title,tags_text,rating,positive_ratio,user_reviews,price_final,score,mf_score_z,text_score_z,mf_catalog_rank,text_catalog_rank,recommendation_source,recommendation_reason,alpha_mf,alpha_text,excluded_history_scope,original_rank,rerank_score,redundancy_penalty,diversity_lambda,diversity_applied
13,balanced_hybrid,1,440,Team Fortress 2,,Very Positive,93,985819,0.0,4.829405190028145,6.582199629614073,4.391206580131662,1,218,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,1,0.65,0.0,0.65,True
13,balanced_hybrid,2,374320,DARK SOULS™ III,,Very Positive,94,230407,30.0,4.80536541540907,6.438874934928772,4.396988035529144,3,73,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,2,0.46132187071099295,0.3870022238139945,0.65,True
13,balanced_hybrid,3,359550,Tom Clancy's Rainbow Six® Siege,,Very Positive,86,993312,20.0,4.800259056178314,6.441095404517032,4.390049969093634,2,247,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,3,0.44096753990477294,0.41285408850515665,0.65,True
13,balanced_hybrid,4,550,Left 4 Dead 2,,Overwhelmingly Positive,97,574470,10.0,4.783210152257274,6.369448789716878,4.386650492892373,5,328,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,4,0.4384516747152545,0.312189113339014,0.65,True
13,balanced_hybrid,5,431960,Wallpaper Engine,,Overwhelmingly Positive,98,637341,4.0,4.758904170294057,6.204357027887448,4.3975409558957095,7,64,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,6,0.4283711330841657,0.18722845958307038,0.65,True
13,balanced_hybrid,6,304930,Unturned,Free to Play Survival Zombies Multiplayer Open World Co-op Crafting Sandbox Adventure Shooter First-Person Post-apocalyptic Looter Shooter Action FPS Singleplayer Massively Multiplayer Atmospheric Indie Casual,Very Positive,91,515016,0.0,4.7634466757346345,6.369733569396125,4.361874952319261,4,662,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,5,0.3818420066488991,0.3489051885610312,0.65,True
13,balanced_hybrid,7,444090,Paladins®,,Very Positive,85,339466,0.0,4.752266911857234,6.213510179617081,4.386956094917272,6,319,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,7,0.36495108126373654,0.32644061187930584,0.65,True
13,balanced_hybrid,8,4000,Garry's Mod,,Overwhelmingly Positive,96,853733,10.0,4.739093879538245,6.147655921010678,4.386953369170137,9,320,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,10,0.3402618173444763,0.3136473763889697,0.65,True
13,balanced_hybrid,9,275850,No Man's Sky,,Mostly Positive,76,209971,60.0,4.725822064598142,6.086679838572202,4.385607621104627,11,348,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,12,0.3252284737004217,0.2726408879923927,0.65,True
13,balanced_hybrid,10,377160,Fallout 4,,Very Positive,83,205094,20.0,4.74950733134152,6.186432099168634,4.390276139384741,8,240,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all,8,0.31645209554503273,0.44755174558314703,0.65,True
