user_id,model,rank,app_id,title,tags_text,rating,positive_ratio,user_reviews,price_final,score,mf_score_z,text_score_z,mf_catalog_rank,text_catalog_rank,recommendation_source,recommendation_reason,alpha_mf,alpha_text,excluded_history_scope
13,mf_bpr,1,440,Team Fortress 2,,Very Positive,93,985819,0.0,6.582199629614073,6.582199629614073,4.391206580131662,1,218,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,2,359550,Tom Clancy's Rainbow Six® Siege,,Very Positive,86,993312,20.0,6.441095404517032,6.441095404517032,4.390049969093634,2,247,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,3,374320,DARK SOULS™ III,,Very Positive,94,230407,30.0,6.438874934928772,6.438874934928772,4.396988035529144,3,73,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,4,304930,Unturned,Free to Play Survival Zombies Multiplayer Open World Co-op Crafting Sandbox Adventure Shooter First-Person Post-apocalyptic Looter Shooter Action FPS Singleplayer Massively Multiplayer Atmospheric Indie Casual,Very Positive,91,515016,0.0,6.369733569396125,6.369733569396125,4.361874952319261,4,662,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,5,550,Left 4 Dead 2,,Overwhelmingly Positive,97,574470,10.0,6.369448789716878,6.369448789716878,4.386650492892373,5,328,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,6,444090,Paladins®,,Very Positive,85,339466,0.0,6.213510179617081,6.213510179617081,4.386956094917272,6,319,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,7,431960,Wallpaper Engine,,Overwhelmingly Positive,98,637341,4.0,6.204357027887448,6.204357027887448,4.3975409558957095,7,64,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,8,377160,Fallout 4,,Very Positive,83,205094,20.0,6.186432099168634,6.186432099168634,4.390276139384741,8,240,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,9,4000,Garry's Mod,,Overwhelmingly Positive,96,853733,10.0,6.147655921010678,6.147655921010678,4.386953369170137,9,320,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,mf_bpr,10,292030,The Witcher® 3: Wild Hunt,,Overwhelmingly Positive,96,668455,40.0,6.12307600970373,6.12307600970373,4.398462051907215,10,41,collaborative,비슷한 사용자들의 선호 패턴이 강한 게임,1.0,0.0,all
13,text_bpr,1,368500,Assassin's Creed® Syndicate,Assassin Open World Action Stealth Parkour Historical Adventure Third Person Singleplayer Story Rich Female Protagonist Atmospheric Steampunk Multiplayer Great Soundtrack Strategy Gore Funny Illuminati Co-op,Very Positive,80,22876,29.99,4.402696614900762,4.070779292095605,4.402696614900762,453,1,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,2,234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,Anime Fighting Action Adventure Ninja Multiplayer Controller Singleplayer Beat 'em up Open World 3D Fighter Fantasy Local Multiplayer PvP Great Soundtrack Co-op Third Person RPG Atmospheric Local Co-Op,Very Positive,89,9124,19.99,4.402599925680629,3.3239369405909143,4.402599925680629,957,2,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,3,1677740,Stumble Guys,,Very Positive,86,92475,0.0,4.40220267379106,3.4675859375998095,4.40220267379106,837,3,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,4,12210,Grand Theft Auto IV: The Complete Edition,,Very Positive,80,114405,20.0,4.402115226318887,5.35030917419344,4.402115226318887,67,4,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,5,1085660,Destiny 2,,Very Positive,81,562723,0.0,4.401867032121768,5.2209046748684775,4.401867032121768,85,5,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,6,1290000,PowerWash Simulator,,Overwhelmingly Positive,97,34548,25.0,4.4018509834913635,3.7622684160701176,4.4018509834913635,618,6,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,7,750920,Shadow of the Tomb Raider: Definitive Edition,Adventure Action Female Protagonist Singleplayer Open World Third Person Story Rich Puzzle Stealth Action-Adventure Exploration Survival Violent Atmospheric Shooter Gore Great Soundtrack Dark Multiplayer Heist,Very Positive,85,51425,0.0,4.401420081181257,4.8516846134344425,4.401420081181257,168,7,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,8,15300,Tom Clancy's Ghost Recon®,Tactical FPS Action Simulation Shooter Classic Strategy Singleplayer Military Realistic Multiplayer Stealth Co-op First-Person Difficult War Team-Based,Very Positive,92,1074,9.99,4.401013965518049,1.7655816640491677,4.401013965518049,3642,8,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,9,1527950,Wartales,,Very Positive,90,17609,35.0,4.400926447728659,2.299167862699412,4.400926447728659,2372,9,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,text_bpr,10,732690,FIVE NIGHTS AT FREDDY'S: HELP WANTED,,Overwhelmingly Positive,96,9699,30.0,4.400880902610809,3.8415728590673854,4.400880902610809,580,10,content,사용자의 선호와 게임 텍스트 특성이 잘 맞는 게임,0.0,1.0,all
13,balanced_hybrid,1,440,Team Fortress 2,,Very Positive,93,985819,0.0,4.829405190028145,6.582199629614073,4.391206580131662,1,218,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all
13,balanced_hybrid,2,374320,DARK SOULS™ III,,Very Positive,94,230407,30.0,4.80536541540907,6.438874934928772,4.396988035529144,3,73,mf_dominant,협업 신호가 중심이고 텍스트 신호가 보완한 게임,0.2,0.8,all
