app_id,title_clean,token_len_minilm,text_for_embedding
2020530,風色幻想6:冒險奏鳴,294,風色幻想6:冒險奏鳴 Adventure Strategy RPG Board Game Anime Cartoon Cartoony Colorful Comic Book Stylized 1980s 1990's Drama Story Rich Singleplayer 于２００７年暑假所推出的风色系列「赤与蓝的抉择篇」第二作。承继着系列作各代优点，加上已趋成熟的系统引擎，这套堪称风色系列最精典的巅峰作一上市便得到极大的人气回响，而且本代新导入的「羁绊对话系统」，也让玩家们终于可以自由的挑选同伴里头最为喜欢的角色进行对谈交心，并让结局产生数种不同分歧。另外，也因为其故事内容虽为前作故事发生的三年之后，但由于主要角色皆已不同之故，因此就算您是头一次接触风色系列，也能简单的融入其中。当然若玩家曾接触过前作（五代），那这些耳熟能详的冒险者们从五代至六代间的成长，亦是会让人感到加倍的感动．．．
1180320,War of the Three Kingdoms,296,War of the Three Kingdoms Sexual Content Free to Play Solitaire Card Game Multiplayer PvP Strategy Historical Hand-drawn Roguelike 3D Drama Casual Tabletop Turn-Based Strategy Auto Battler Deckbuilding Co-op RPG Online Co-Op 《三国杀》是一款拥有沉浸体验感的以三国时代为背景的线上卡牌游戏。玩家可扮演三国时期人物，根据随机抽中的隐藏身份（主公、反贼、忠臣、内奸），通过使用独特的人物技能，合理打出各种类型的手牌，运筹帷幄、智取搏杀，获得自己所属身份的胜利！ 《三国杀》将三国历史与桌面游戏结合在一起。以桌面游戏独有的方式向玩家展示了一个个鲜活的三国人物，一段段精彩的三国故事。以身份、势力或阵营等为线索，以卡牌为形式，合纵连横，经过一轮一轮的谋略和动作获得最终的胜利。三国杀集合历史、文学、美术等元素于一身，在中国广受欢迎。
1173010,Flowers Blooming at the End of Summer,294,"Flowers Blooming at the End of Summer Indie Visual Novel Casual Romance Atmospheric Emotional Singleplayer Anime Drama 2D Crowdfunded Dating Sim Cute 여름방학을 며칠 앞둔 어느 날 갑작스레 내 앞에 나타난 한 소녀. 자신을 유령이라 밝힌 소녀는 난데없이 내게 자신을 없애 달라는 부탁을 건넨다. 자신의 눈에 보인다는 죽음의 색을 통해 나는 유령 소녀의 과거를 추적하기 시작하지만, 어째 소녀는 점점 죽음에 가까워지기보다는 나의 일상에 녹아들기 시작하는데..."
1733680,战国异闻录,274,战国异闻录 Strategy RPG Turn-Based Strategy MOBA Strategy RPG Card Battler Real Time Tactics Turn-Based Tactics 2.5D Historical Tactical PvP Story Rich Turn-Based Combat Singleplayer Co-op Online Co-Op Multiplayer Adventure Massively Multiplayer 本来是一代目游戏制作人制作的氪金游戏，结果有次跟程序讨论功能时发起争执，被打断了腿然后跑路了。我临危受命，被老板选中作为二代目制作人，为避免我的腿也被打断，我果断移除了所有的氪金点。哦！介绍一下这个游戏吧，这貌似是一款游戏战棋游戏吧，虽然选的是战国时代，不过脑残策划还加入了妖族的设定，总之你们愿意玩就玩玩看吧，里边玩家用的角色还有一大堆职业什么墨家、法家、兵法、道家、医家、术家、妖家，我也不知道那个好。你们自己试吧，让平衡见鬼去吧。
1440500,東方剛欲異聞 ～ 水没した沈愁地獄,257,東方剛欲異聞 ～ 水没した沈愁地獄 Action Bullet Hell Indie 2D Pixel Graphics Singleplayer Controller Faith Female Protagonist Side Scroller Great Soundtrack Anime 不思議な力を持つ少女たちを操作して異変の解決を目指す2D弾幕アクションゲーム。立ち塞がる敵が繰り出して くる圧倒的弾幕を時には避け、時には攻撃で無害な水にして切り抜け、戦場に溢れた水を使う事で強力な攻撃 「スペルカード」を繰り出し決闘を制していく駆け引きのゲームです。 主人公は複数から選択可能で、ストーリーもゲーム内容もそれぞれ個性に応じて違った展開を楽しめます。 無数の弾幕とライバルを蹴散らし、この世界の異変の元凶をその目で確かめてください。
985020,Three Kingdoms：Ancient battlefield | 三国古战略,347,Three Kingdoms：Ancient battlefield | 三国古战略 Strategy Free to Play Massively Multiplayer Simulation Indie 这是一款三国开房间即时联机游戏，玩法上你可以想象以前我们所玩的《三国群英传》或其它单机攻城类三国游戏的一种联机化改编，游戏可以多人对战，混战，组队打电脑等，一局时间在10~60分钟之间，具体视不同模式而定，比如混战会久一点，因为你要打败大部分对手，争取高分，而对战就短一点，因为对方一旦弱势可能就认输了。总之这个游戏玩法经过我2年多的折腾，现在结构算比较合理，当然里面也包含了一般的养成元素，游戏免费，但充钱玩的舒服无法避免，不过我尽量控制平衡（作者提示里说的内容），总的来说游戏倾向玩家自身技术硬实力，花钱为辅助，游戏中最强的玩家一般是弱氪，但很擅研究的人，整体比例是（技术70%）（氪金30%），我不隐瞒任何收费情况，真实坦荡，所以喜欢的就请加入进来吧。
1863540,月出之时,311,月出之时 JRPG Cute Casual Female Protagonist Fantasy Hand-drawn Adventure 2D Roguelite Cartoony 2D Platformer Combat RPG Roguelike Anime Colorful Comic Book Visual Novel Traditional Roguelike Dungeon Crawler 本作是一款休闲复古的2D RPG游戏，玩家可操作主角月露进行主线剧情、打怪地下城刷刷刷、轻养成以及换衣服和带猫猫宠物等。定价12元， 发售打折只要9元，美人很多，看过路过不要错过，错过你素未相识的老婆就是血亏，买到就是赚到。游戏背景：近日来总有传闻，说是恶堕神又在各个种族之间胡作非为，企图挑起种族争端。主神为了维持各族之间的平衡，派出一组神祇下界制止恶堕神。而主角月露——作为新晋的小神仙，她也想加入队伍中，可作为队长的太阳神却看她是个可爱妹妹就觉得她派不上什么用场。真是的，瞧不起谁呢！月露失望之余又灵机一动，只要偷偷地跟着他们不就好了嘛！不料……
1447470,全战天下,271,全战天下 Strategy Simulation Historical RTS War Military Strategy RPG Grand Strategy Wargame Base Building Tactical RPG Real Time Tactics MMORPG PvP Massively Multiplayer Free to Play Adventure Deckbuilding Political Sim Team-Based 《全战天下》是一款全新的SLG战争策略游戏，游戏背景上我们抛开了单一历史时空的限制，将东西方文明中那些伟大的名字写到了游戏中，如果您热爱华夏文明，辅佐玄德公匡扶汉室，与嬴政白起一统六国，加入刘邦项羽的楚汉之争，携手成吉思汗征服亚欧将是您完美的选择，如果您喜欢日本战国，那就与三刀一流的宫本武藏，天下布武的织田信长一道征战沙场，您要是喜好欧美文明，我们推荐您选择圣女贞德，美杜莎、阿克琉斯来助您成就大业，经典英灵不胜枚举，阵容豪华堪称策略游戏的复仇者联盟。
2020500,風色幻想3:罪與罰的鎮魂歌,271,風色幻想3:罪與罰的鎮魂歌 Adventure Strategy RPG Strategy RPG Anime Cartoon Cartoony Colorful Comic Book Stylized 1980s 1990's Drama Emotional Singleplayer 风二发售之后的两年，于２００４年，搭配着全新３Ｄ引擎所推出的「风色幻想Ⅲ～罪与罚的镇魂歌～」。游戏本身在众多玩家的引颈期盼下，再次以战略角色扮演的方式呈现。由于本作品是风色全系列作里唯一以两个主角之观点来述说故事内容的革新之作。因此对该作品如此安排是否得当的赞否两论讨论也在当时讨论的十分火热．．。当然本作依然维持着风色系列优良剧本的传统，它交杂着私人友情与国家大义间挣扎的剧情，甚至还获得了当年「计算机玩家」所举办的『计算机玩家第八届游戏金像奖自制类最佳游戏剧本奖项』之肯定。
2020550,風色幻想XX:交錯的軌跡,276,風色幻想XX:交錯的軌跡 Adventure Strategy RPG Board Game Anime Cartoon Cartoony Colorful Stylized Drama Story Rich Singleplayer 为弘煜科技于2008年6月发行的战棋角色扮演游戏。继『风色幻想５～赤月战争～』与『风色幻想６～冒险奏鸣～』这两部作品成功构筑出完整且立体的「赤与蓝的抉择篇」世界观后，为了承接本系列最后完结篇而于2008年六月底所推出的最新枢纽作品。而本作除了大大改变原本风色系列所使用的ＲＡＰ战斗方式外，还大胆的启用了两名主角，以双重视点的章节交错进行方式立体呈现出整个异世界 「树罗大地」的奇妙世界观，当然这也正好符合了这次所用的标题「ＸＸ」这个代表着「DOUBLE CROSS」的双重交会意含，让这部最新的风色幻想系列作，有了最为不同的玩法与内容。
