model,k,n_eval_users,recall,ndcg,coverage,avg_train_popularity,cold_recall,cold_ndcg,n_cold_eval_users,warm_recall,warm_ndcg,n_warm_eval_users,method,min_positive_history,alpha,selection_score,experiment
popularity_ref_pos>=5,10,4534,0.0218848985218143,0.0118873444934412,0.0003931435760339,195287.0083370093,0.0,0.0,2103,0.0320218507924962,0.0168728807155188,3424,popularity_reference,5,,0.033776174451015835,popularity_ref_pos>=5
popularity_ref_pos>=3,10,4938,0.0215288503910974,0.0114227303039565,0.0003931435760339,195366.60421223167,0.0,0.0,2279,0.0314905218516991,0.0162531996188443,3712,popularity_reference,3,,0.032955512130814234,popularity_ref_pos>=3
popularity_ref_pos>=1,10,5000,0.0212618926462478,0.0112810884481874,0.0003931435760339,195382.70314,0.0,0.0,2311,0.0311714178969352,0.0160885005293734,3750,popularity_reference,1,,0.03254691253019554,popularity_ref_pos>=1
hours_weighted_pos>=1,10,5000,0.0079341456582633,0.0058586363010313,0.1405881427897468,4443.66956,0.0052556613298716,0.0036274175009576,2311,0.0086210749598984,0.0063649006616605,3750,hours_weighted_mean,1,,0.02045432471706367,hours_weighted_pos>=1
hours_weighted_pos>=3,10,4938,0.0078312531979174,0.0058044252230833,0.1372071080358547,4452.004981773997,0.005329457364341,0.0036783509630158,2279,0.0084399329470957,0.0062600882887002,3712,hours_weighted_mean,3,,0.020337206865700244,hours_weighted_pos>=3
pos_minus_0.5_neg_pos>=1,10,5000,0.0075906173238526,0.005117019661265,0.1970632174870262,3825.46886,0.0052286167604211,0.0029076081537748,2311,0.0082910718475424,0.0058090874777228,3750,pos_minus_neg,1,0.5,0.019906885920408963,pos_minus_0.5_neg_pos>=1
hours_weighted_pos>=5,10,4534,0.0076927793614137,0.0055657904146228,0.1241154269539235,4339.1404058226735,0.0050622127119987,0.0033267280254296,2103,0.0083710176498109,0.0061244388998525,3424,hours_weighted_mean,5,,0.019561936757574436,hours_weighted_pos>=5
pos_minus_0.5_neg_pos>=3,10,4938,0.0072809004899277,0.0048775006695676,0.1919523509985846,3828.741575536655,0.004863244112915,0.0025096456530818,2279,0.0081065515701196,0.0057338572309969,3712,pos_minus_neg,3,0.5,0.018941168782396146,pos_minus_0.5_neg_pos>=3
pos_minus_0.2_neg_pos>=1,10,5000,0.0071303792286145,0.0048464931532108,0.1473108979399276,3596.64078,0.0047959036492139,0.0026986915868275,2311,0.0078050152026622,0.0054693793729474,3750,pos_minus_neg,1,0.2,0.01824588501043848,pos_minus_0.2_neg_pos>=1
simple_mean_pos>=1,10,5000,0.0071532363714716,0.0048106583467949,0.1310150967133197,3421.39158,0.0048590076445982,0.0024166570026518,2311,0.0078894596471067,0.0056097344214788,3750,simple_mean,1,,0.018133053329997897,simple_mean_pos>=1
pos_minus_0.2_neg_pos>=3,10,4938,0.0068148837875805,0.0045770627809806,0.1424948891335115,3596.1120494127176,0.0044244551703963,0.0022977956371911,2279,0.0076155191298446,0.0053553994867945,3712,pos_minus_neg,3,0.2,0.01724135063029252,pos_minus_0.2_neg_pos>=3
simple_mean_pos>=3,10,4938,0.0068380279176505,0.0046420336128804,0.1269264035225664,3415.993236127987,0.0044884452245136,0.0022311954072524,2279,0.0077008280378906,0.0054971913596374,3712,simple_mean,3,,0.017237770790270165,simple_mean_pos>=3
simple_mean_pos>=5,10,4534,0.0068683682967265,0.0045695708132639,0.1134219216857996,3215.1241508601674,0.0044678237438579,0.0020559706062196,2103,0.0077157730753456,0.0054330111192055,3424,simple_mean,5,,0.017039982070706297,simple_mean_pos>=5
pos_minus_0.5_neg_pos>=5,10,4534,0.0066400230253729,0.0045987060100771,0.169248309482623,3704.309660344067,0.0040814709145664,0.0020941595656623,2103,0.0077003590047329,0.0055504594543263,3424,pos_minus_neg,5,0.5,0.01701268304484263,pos_minus_0.5_neg_pos>=5
pos_minus_0.2_neg_pos>=5,10,4534,0.0065858468187926,0.0044546843927837,0.1251769146092153,3414.8062417291576,0.0040814709145664,0.0020400360109651,2103,0.0074772606142864,0.0052749772066242,3424,pos_minus_neg,5,0.2,0.016373771272234855,pos_minus_0.2_neg_pos>=5
