model,k,n_eval_users,recall,ndcg,coverage,avg_train_popularity,cold_recall,cold_ndcg,n_cold_eval_users,warm_recall,warm_ndcg,n_warm_eval_users,method,min_positive_history,alpha,selection_score,experiment
popularity_ref_pos>=1,5,5000,0.0118730833183209,0.0079046787064509,0.0002358861456203,212258.81252,0.0,0.0,2311,0.0171750071617009,0.0111372081677753,3750,popularity_reference,1,,0.019780120886228002,popularity_ref_pos>=1
popularity_ref_pos>=1,10,5000,0.0212618926462478,0.0112810884481874,0.0003931435760339,195382.70314,0.0,0.0,2311,0.0311714178969352,0.0160885005293734,3750,popularity_reference,1,,0.03254691253019554,popularity_ref_pos>=1
popularity_ref_pos>=1,20,5000,0.0365229585174418,0.015900513302202,0.0006683440792577,170433.96496,0.0,0.0,2311,0.0534189966493375,0.0226959349007745,3750,popularity_reference,1,,0.05243015526043637,popularity_ref_pos>=1
simple_mean_pos>=1,5,5000,0.0046105742296918,0.0039417647938331,0.0846044975625098,4245.0582,0.0021184912736189,0.0015279793862433,2311,0.0059321860710096,0.0048767581991037,3750,simple_mean,1,,0.011516875272768899,simple_mean_pos>=1
simple_mean_pos>=1,10,5000,0.0071532363714716,0.0048106583467949,0.1310150967133197,3421.39158,0.0048590076445982,0.0024166570026518,2311,0.0078894596471067,0.0056097344214788,3750,simple_mean,1,,0.018133053329997897,simple_mean_pos>=1
simple_mean_pos>=1,20,5000,0.009956569704805,0.0056043728392241,0.1928369240446611,2824.807,0.0081043559786528,0.0032637784181763,2311,0.0104050152026622,0.0063069653589478,3750,simple_mean,1,,0.02559366776312851,simple_mean_pos>=1
hours_weighted_pos>=1,5,5000,0.0058343837535014,0.0051318617665122,0.0908554804214499,5463.31872,0.003497764315592,0.0030588940368062,2311,0.0067277416265651,0.0056432507556069,3750,hours_weighted_mean,1,,0.015372564639820098,hours_weighted_pos>=1
hours_weighted_pos>=1,10,5000,0.0079341456582633,0.0058586363010313,0.1405881427897468,4443.66956,0.0052556613298716,0.0036274175009576,2311,0.0086210749598984,0.0063649006616605,3750,hours_weighted_mean,1,,0.02045432471706367,hours_weighted_pos>=1
hours_weighted_pos>=1,20,5000,0.0120786542052718,0.0070511536356099,0.208090894794779,3588.69627,0.0085010096639261,0.0044751677307508,2311,0.0130837733725969,0.0076265709918476,3750,hours_weighted_mean,1,,0.02971172645275559,hours_weighted_pos>=1
pos_minus_0.2_neg_pos>=1,5,5000,0.004641050420168,0.0039706278115236,0.0953962887246422,4408.29856,0.0026323380931775,0.0019766693294535,2311,0.0056507045895281,0.0046430704505258,3750,pos_minus_neg,1,0.2,0.012197979212115522,pos_minus_0.2_neg_pos>=1
pos_minus_0.2_neg_pos>=1,10,5000,0.0071303792286145,0.0048464931532108,0.1473108979399276,3596.64078,0.0047959036492139,0.0026986915868275,2311,0.0078050152026622,0.0054693793729474,3750,pos_minus_neg,1,0.2,0.01824588501043848,pos_minus_0.2_neg_pos>=1
pos_minus_0.2_neg_pos>=1,20,5000,0.0104029189111542,0.0057770025549415,0.2179391413744299,2943.2342,0.0094024953122746,0.0038931032719994,2311,0.010143664440135,0.0061422625393465,3750,pos_minus_neg,1,0.2,0.0277618081921146,pos_minus_0.2_neg_pos>=1
pos_minus_0.5_neg_pos>=1,5,5000,0.0052102811893988,0.0043556114644747,0.1252948576820254,4633.58484,0.0030650512043848,0.002193317811826,2311,0.0063220522396992,0.0051508876113926,3750,pos_minus_neg,1,0.5,0.013883892435078553,pos_minus_0.5_neg_pos>=1
pos_minus_0.5_neg_pos>=1,10,5000,0.0075906173238526,0.005117019661265,0.1970632174870262,3825.46886,0.0052286167604211,0.0029076081537748,2311,0.0082910718475424,0.0058090874777228,3750,pos_minus_neg,1,0.5,0.019906885920408963,pos_minus_0.5_neg_pos>=1
pos_minus_0.5_neg_pos>=1,20,5000,0.0104009337889966,0.0059438798254322,0.2910048749803428,3152.26701,0.0087984999278811,0.0038275072238538,2311,0.0107469236993942,0.006532272159278,3750,pos_minus_neg,1,0.5,0.028053362292113325,pos_minus_0.5_neg_pos>=1
popularity_ref_pos>=3,5,4938,0.0120221580784942,0.0080039274062889,0.0002358861456203,212239.7283515593,0.0,0.0,2279,0.0173508288944985,0.0112512205358722,3712,popularity_reference,3,,0.020028444346239304,popularity_ref_pos>=3
popularity_ref_pos>=3,10,4938,0.0215288503910974,0.0114227303039565,0.0003931435760339,195366.60421223167,0.0,0.0,2279,0.0314905218516991,0.0162531996188443,3712,popularity_reference,3,,0.032955512130814234,popularity_ref_pos>=3
popularity_ref_pos>=3,20,4938,0.0369815294830314,0.016100155227017,0.0006683440792577,170416.482654921,0.0,0.0,2279,0.0539658506021055,0.0229282747515906,3712,popularity_reference,3,,0.053088368150840975,popularity_ref_pos>=3
simple_mean_pos>=3,5,4938,0.0042634408968123,0.0037622305013354,0.0823242648215128,4223.618631024707,0.0017094485885622,0.0013300396496746,2279,0.0057235177172106,0.0047567116091238,3712,simple_mean,3,,0.010558362634925027,simple_mean_pos>=3
simple_mean_pos>=3,10,4938,0.0068380279176505,0.0046420336128804,0.1269264035225664,3415.993236127987,0.0044884452245136,0.0022311954072524,2279,0.0077008280378906,0.0054971913596374,3712,simple_mean,3,,0.017237770790270165,simple_mean_pos>=3
simple_mean_pos>=3,20,4938,0.009676559036862,0.0054457137388718,0.186389369397704,2820.0748481166465,0.0077793622934035,0.0030902114631002,2279,0.010242135509155,0.0062015598982982,3712,simple_mean,3,,0.02476552876311434,simple_mean_pos>=3
hours_weighted_pos>=3,5,4938,0.0057051273324234,0.0050685255323997,0.08888976254128,5460.722114216282,0.003546877285359,0.0031018447209562,2279,0.0065272174298543,0.0055310508027894,3712,hours_weighted_mean,3,,0.0152094277755949,hours_weighted_pos>=3
hours_weighted_pos>=3,10,4938,0.0078312531979174,0.0058044252230833,0.1372071080358547,4452.004981773997,0.005329457364341,0.0036783509630158,2279,0.0084399329470957,0.0062600882887002,3712,hours_weighted_mean,3,,0.020337206865700244,hours_weighted_pos>=3
hours_weighted_pos>=3,20,4938,0.0118252877736653,0.0069633507407675,0.202685170624312,3592.514793438639,0.0081815854907123,0.00443277760386,2279,0.0129483163112172,0.0075346744250693,3712,hours_weighted_mean,3,,0.02899707571138822,hours_weighted_pos>=3
pos_minus_0.2_neg_pos>=3,5,4938,0.0042942997369056,0.0036902003450884,0.0926246265136027,4399.3278250303765,0.0022305104578031,0.0015656352875679,2279,0.0054391546903907,0.0045206315829473,3712,pos_minus_neg,3,0.2,0.011141256804933126,pos_minus_0.2_neg_pos>=3
pos_minus_0.2_neg_pos>=3,10,4938,0.0068148837875805,0.0045770627809806,0.1424948891335115,3596.1120494127176,0.0044244551703963,0.0022977956371911,2279,0.0076155191298446,0.0053553994867945,3712,pos_minus_neg,3,0.2,0.01724135063029252,pos_minus_0.2_neg_pos>=3
pos_minus_0.2_neg_pos>=3,20,4938,0.0101285124657292,0.0055192553708254,0.2107839282906117,2937.974564601053,0.0090957291209594,0.0035089783508515,2279,0.0099781092808476,0.0060351710045738,3712,pos_minus_neg,3,0.2,0.026851336240420118,pos_minus_0.2_neg_pos>=3
pos_minus_0.5_neg_pos>=3,5,4938,0.0048706775915338,0.0041065324670664,0.1221890234313571,4635.188821385176,0.0026692994003217,0.0017853257846116,2279,0.0061173749727565,0.005068919327242,3712,pos_minus_neg,3,0.5,0.012868399693235472,pos_minus_0.5_neg_pos>=3
pos_minus_0.5_neg_pos>=3,10,4938,0.0072809004899277,0.0048775006695676,0.1919523509985846,3828.741575536655,0.004863244112915,0.0025096456530818,2279,0.0081065515701196,0.0057338572309969,3712,pos_minus_neg,3,0.5,0.018941168782396146,pos_minus_0.5_neg_pos>=3
pos_minus_0.5_neg_pos>=3,20,4938,0.0101265024189921,0.005714742634095,0.2827292027048278,3155.4036654516,0.0084832528886938,0.0034424612524467,2279,0.010587544146748,0.006464445204012,3712,pos_minus_neg,3,0.5,0.02715178996882918,pos_minus_0.5_neg_pos>=3
popularity_ref_pos>=5,5,4534,0.0130198683851502,0.0086653626310638,0.0002358861456203,212161.8314953684,0.0,0.0,2103,0.0187128923840669,0.0121290570286642,3424,popularity_reference,5,,0.021687589877670204,popularity_ref_pos>=5
popularity_ref_pos>=5,10,4534,0.0218848985218143,0.0118873444934412,0.0003931435760339,195287.0083370093,0.0,0.0,2103,0.0320218507924962,0.0168728807155188,3424,popularity_reference,5,,0.033776174451015835,popularity_ref_pos>=5
popularity_ref_pos>=5,20,4534,0.0374140672303712,0.0165879156028115,0.0006683440792577,170320.0602889281,0.0,0.0,2103,0.0544706778829962,0.0235458033988723,3424,popularity_reference,5,,0.05400866627397527,popularity_ref_pos>=5
simple_mean_pos>=5,5,4534,0.0043216889755461,0.0036986006361486,0.0733999056455417,3977.0897662108514,0.0016147566967823,0.0011497922819034,2103,0.0058155269956053,0.0047276970698144,3424,simple_mean,5,,0.010369045364932418,simple_mean_pos>=5
simple_mean_pos>=5,10,4534,0.0068683682967265,0.0045695708132639,0.1134219216857996,3215.1241508601674,0.0044678237438579,0.0020559706062196,2103,0.0077157730753456,0.0054330111192055,3424,simple_mean,5,,0.017039982070706297,simple_mean_pos>=5
simple_mean_pos>=5,20,4534,0.0093716766337358,0.0052771243869884,0.1664176757351785,2672.57505513895,0.0070831352036772,0.0027379031328519,2103,0.0102663961283051,0.0061249150077461,3424,simple_mean,5,,0.023396112981753186,simple_mean_pos>=5
hours_weighted_pos>=5,5,4534,0.0054507246215645,0.0047891893106883,0.0807320333385752,5304.259947066608,0.0031304485655412,0.0027019739951615,2103,0.0063947715438919,0.0053829007302453,3424,hours_weighted_mean,5,,0.01417768283117975,hours_weighted_pos>=5
hours_weighted_pos>=5,10,4534,0.0076927793614137,0.0055657904146228,0.1241154269539235,4339.1404058226735,0.0050622127119987,0.0033267280254296,2103,0.0083710176498109,0.0061244388998525,3424,hours_weighted_mean,5,,0.019561936757574436,hours_weighted_pos>=5
hours_weighted_pos>=5,20,4534,0.0113810331627023,0.0066331243345201,0.1836177071866645,3483.8795324217026,0.0072020129973054,0.003883150856816,2103,0.0129081435398866,0.0073962995292312,3424,hours_weighted_mean,5,,0.027052347566394443,hours_weighted_pos>=5
