rank,app_id,title_clean,score,rating,positive_ratio,user_reviews,price_final,train_interactions,train_positive_interactions,is_cold_train,was_seen_in_train,tags_text
1,2439040,Black Desert - [Pre-Order] Land of the Morning Light Edition,0.6960038,Mostly Positive,75,12,49.99,0,0,True,False,Action Adventure RPG Massively Multiplayer Simulation Strategy Action-Adventure
2,2022020,Hidden Desert War Top-Down 3D,0.65208346,Positive,84,13,0.99,0,0,True,False,On-Rails Shooter Side Scroller 2D Platformer 3D Platformer Immersive Sim Top-Down Shooter Hidden Object Hack and Slash MOBA RTS Action RPG Arcade Strategy Action-Adventure Character Customization Female Protagonist Building Crafting Physics War
3,1509820,Cloud Climber,0.6415731,Very Positive,91,3728,0.0,1747,1611,False,False,Free to Play Walking Simulator Casual Adventure Atmospheric Singleplayer First-Person Post-apocalyptic Exploration Relaxing 3D Story Rich Puzzle Stylized Dark Fantasy Hand-drawn Fantasy Great Soundtrack Alternate History Funny
4,1367250,Arabel,0.63840234,Positive,100,17,7.99,4,4,False,False,Action Adventure Action-Adventure Character Action Game Beat 'em up Third-Person Shooter Third Person Colorful Stylized Atmospheric Dark Fantasy Destruction Fantasy Bullet Time Combat Multiple Endings Linear Singleplayer Indie
5,1721410,Rust 'n Dust,0.6283387,Mixed,60,25,0.0,10,6,False,False,Action Adventure Action-Adventure Shooter 3D Platformer Exploration Third-Person Shooter 3D Colorful Cute FMV Stylized Third Person Atmospheric Comedy Mystery Racing Relaxing Sci-fi Western
6,263680,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,0.6222499,Mixed,58,468,4.99,473,237,False,False,Action-Adventure Third-Person Shooter Mystery Cinematic 3D Platformer Platformer Exploration Shooter Walking Simulator Female Protagonist Third Person 3D Story Rich Controller Action Atmospheric Adventure Conspiracy Combat Singleplayer
7,395180,Arma 3 Apex,0.620734,Very Positive,82,2287,24.99,0,0,True,False,Simulation Action Military Multiplayer Strategy Open World FPS Sandbox Tactical Co-op Realistic Shooter Singleplayer Survival First-Person Online Co-Op Third-Person Shooter Atmospheric Walking Simulator RPG
8,1829600,HITMAN 3 - Carpathian Mountains,0.6205421,Mixed,64,17,69.99,0,0,True,False,Action Adventure Gore Violent Stealth Shooter Sandbox Third-Person Shooter Singleplayer
9,1666030,Azimech,0.6198353,Mixed,46,15,0.0,3,1,False,False,Action Adventure Action-Adventure Beat 'em up Shooter Hero Shooter Third-Person Shooter Third Person Stylized Fantasy Free to Play Indie Mystery Combat Team-Based Local Co-Op Local Multiplayer
10,391730,Crashlands,0.6180433,Very Positive,89,3008,14.99,2835,2502,False,False,Open World Survival Craft Comedy Top-Down Crafting 2D RPG Indie Adventure Open World Story Rich Funny Action Sandbox Survival Singleplayer Multiplayer Action RPG Female Protagonist Touch-Friendly Co-op
