건축년도,계약기간,계약구분,계약일,계약월,계약연도,보증금_만원,전용면적_m2,층,주택유형,지번,건물명,월세금_만원,종전보증금_만원,종전월세_만원,법정동코드,읍면동,갱신요구권사용,_구,_조회연월,계약일자,계약연월,전월세구분,주택연령,면적구간,동그룹,주소,위도,경도,동북권_전환율(%),환산보증금_만원,면적라벨,면적당가격_만원,log_면적당가격,z_면적당가격,이상치후보,도로명주소,지하철역거리_m,최근접역,종전환산보증금_만원,is_basement,학교거리_m,SK미래관거리,보문역거리,log_전용면적,전월세구분_전세,주택유형_연립,동그룹_안암동,최근접역_안암역,면적라벨_소형,면적라벨_중형,data_split
2001,26.01~28.01,갱신,23,1,2023,2000,48.84,2,연립,'87-1,성종그린빌,60,8000.0,25.0,11290,안암동1가, ,성북구,202301,2023-01-23,2023-01,월세,22,33㎡ 초과,안암동,서울특별시 성북구 안암동1가 87-1,37.5885002460396,127.020243888353,4.5,18000.0,대형,368.55036855036855,5.912287046525402,0.0265711556763384,False,서울 성북구 고려대로7길 56-10,329.65675434854785,보문역,14666.666666666668,0,869.5720219062839,1017.2665265417684,330.18323887487173,3.888549649242504,0,1,1,0,0,0,train
2019,23.02~25.02,신규,28,1,2023,1000,19.62,2,다세대,'105-3,E.SVill,50,,,11290,안암동1가, ,성북구,202301,2023-01-28,2023-01,월세,4,20㎡ 이하,안암동,서울특별시 성북구 안암동1가 105-3,37.5879341880433,127.020558833338,4.5,14333.333333333334,소형,730.5470608222902,6.595161553076083,-1.1472557697396042,False,서울 성북구 고려대로7다길 5,270.4954149793068,보문역,,0,805.0197178822772,964.6844828426848,274.14946234955704,2.976549454137217,0,0,1,0,1,0,train
2012,24.02~25.02,신규,4,1,2023,2000,14.13,6,다세대,'12-24,(12-24),70,,,11290,안암동5가, ,성북구,202301,2023-01-04,2023-01,월세,11,20㎡ 이하,안암동,서울특별시 성북구 안암동5가 12-24,37.5890048138564,127.029936464902,4.5,20666.666666666668,소형,1462.609105921208,7.2886606547171215,1.266895870351205,False,서울 성북구 고려대로27길 52-7,306.26710788830525,안암역,,0,525.5027062656495,525.5027062656495,978.315946177262,2.6483001966964363,0,0,1,1,1,0,train
1985,23.04~25.04,신규,8,1,2023,30000,111.54,3,연립,'54-3,(54-3),0,,,11290,안암동3가, ,성북구,202301,2023-01-08,2023-01,전세,38,33㎡ 초과,안암동,서울특별시 성북구 안암동3가 54-3,37.585388607642,127.023027545657,4.5,30000.0,대형,268.9618074233459,5.598280495005208,-0.64515211908878,False,서울 성북구 고려대로14길 24,267.0079737588122,보문역,,0,453.1904532749157,669.4808957237514,292.06942888916745,4.714383270961408,1,1,1,0,0,0,train
2012,23.02~24.02,신규,7,1,2023,2000,12.96,3,다세대,'15-55,큰소나무,63,,,11290,안암동5가, ,성북구,202301,2023-01-07,2023-01,월세,11,20㎡ 이하,안암동,서울특별시 성북구 안암동5가 15-55,37.5876435799279,127.029636220866,4.5,18800.0,소형,1450.617283950617,7.280433582095404,1.238256466470412,False,서울 성북구 고려대로27길 27,152.75493553055347,안암역,,0,379.4999345617588,379.4999345617588,903.9568111992396,2.561867690924129,0,0,1,1,1,0,train
2005,23.01~25.01,신규,7,1,2023,1000,72.52,2,다세대,'47,기원빌라,65,,,11290,안암동3가, ,성북구,202301,2023-01-07,2023-01,월세,18,33㎡ 초과,안암동,서울특별시 성북구 안암동3가 47,37.5847449790216,127.022346229739,4.5,18333.333333333336,대형,252.8038242323957,5.536561623064308,-0.7771812203105252,False,서울 성북구 고려대로12길 32,224.6377446161844,보문역,,0,463.6152471243175,720.1867794485319,248.5261000462212,4.283862385886651,0,0,1,0,0,0,train
2013,23.03~24.02,신규,11,1,2023,1000,13.7,3,다세대,'110-6,E&I,60,,,11290,안암동5가, ,성북구,202301,2023-01-11,2023-01,월세,10,20㎡ 이하,안암동,서울특별시 성북구 안암동5가 110-6,37.5812859176473,127.026938112,4.5,17000.0,소형,1240.8759124087592,7.124378348008386,0.695009909374026,False,서울 성북구 안암로 45,593.8686310018182,안암역,,0,168.44658047772734,459.1734550356916,793.9927513365587,2.617395832834079,0,0,1,1,1,0,train
2018,23.02~25.02,신규,6,1,2023,1000,14.67,3,다세대,'153-1,밀로바니,65,,,11290,안암동2가, ,성북구,202301,2023-01-06,2023-01,월세,5,20㎡ 이하,안암동,서울특별시 성북구 안암동2가 153-1,37.5860392528644,127.022360316217,4.5,18333.333333333336,소형,1249.715973642354,7.131471445234999,0.7197018120202335,False,서울 성북구 고려대로 28,214.91379352192595,보문역,,0,544.8687416035631,742.8538092609206,238.67775790395103,2.6858045921548905,0,0,1,0,1,0,train
2018,23.02~25.02,신규,31,1,2023,1000,14.67,3,다세대,'153-1,밀로바니,58,,,11290,안암동2가, ,성북구,202301,2023-01-31,2023-01,월세,5,20㎡ 이하,안암동,서울특별시 성북구 안암동2가 153-1,37.5860392528644,127.022360316217,4.5,16466.666666666668,소형,1122.4721654169507,7.024179316433703,0.3462053386988362,False,서울 성북구 고려대로 28,214.91379352192595,보문역,,0,544.8687416035631,742.8538092609206,238.67775790395103,2.6858045921548905,0,0,1,0,1,0,train
2011,23.02~24.02,신규,17,1,2023,1000,12.0,2,다세대,'102-93,theban,60,,,11290,안암동5가, ,성북구,202301,2023-01-17,2023-01,월세,12,20㎡ 이하,안암동,서울특별시 성북구 안암동5가 102-93,37.585020856236,127.02900534872,4.5,17000.0,소형,1416.6666666666667,7.256767606585524,1.155872432437302,False,서울 성북구 고려대로22길 25,144.46380952790796,안암역,,0,154.17784345135172,154.17784345135172,820.3812049019632,2.4849066497880004,0,0,1,1,1,0,train
