delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,axis,condition,n_genes_requested,n_genes_actual,seed,elapsed_sec,pair,other_modality
0.5998732172534209,0.9940433212996391,-1.7952755284708706,-1.9373687292744595,1.178616125011905,0.033140794223826715,quantity,n_genes=50,50,50,0,18.0,multiome,ATAC
0.593842315070995,0.9886642599277978,-1.822240486181572,-1.9427518114097742,1.1902289489878268,0.033646209386281586,quantity,n_genes=50,50,50,1,16.4,multiome,ATAC
0.6019797764754139,0.9936101083032491,-1.7749329719124667,-1.9269767134890663,1.1702216265474885,0.03299638989169675,quantity,n_genes=50,50,50,2,16.8,multiome,ATAC
0.3646488681306268,0.9482310469314081,-2.491721162041335,-2.423379060143255,0.9852510909152241,0.06866425992779783,quantity,n_genes=134,134,134,0,19.7,multiome,ATAC
0.36144390096237033,0.9408303249097474,-2.5188877891661545,-2.41600286892248,0.9881789276071978,0.06981949458483755,quantity,n_genes=134,134,134,1,18.9,multiome,ATAC
0.35906553269709796,0.9539350180505416,-2.5131005685826118,-2.432266893347728,0.989503602717587,0.06895306859205776,quantity,n_genes=134,134,134,2,18.9,multiome,ATAC
0.13328838026023848,0.8789530685920578,-3.1776587330165245,-3.0088852321172888,0.7460455981772922,0.18267148014440432,quantity,n_genes=500,500,500,0,26.3,multiome,ATAC
0.13149834822517975,0.8735379061371841,-3.1639615453492382,-3.0012496440370993,0.7428342414914438,0.1844765342960289,quantity,n_genes=500,500,500,1,23.6,multiome,ATAC
0.13612845213685754,0.8703249097472924,-3.162551478815321,-3.0100970793079496,0.7465399421232739,0.18454873646209385,quantity,n_genes=500,500,500,2,22.8,multiome,ATAC
0.08804740422487066,0.8397111913357401,-3.406399972247284,-3.3184463748394286,0.6118543424002575,0.248014440433213,quantity,n_genes=2000,2000,2000,0,29.5,multiome,ATAC
0.08900598028109613,0.854332129963899,-3.3979332252505055,-3.311192704933608,0.607048592750955,0.25046931407942236,quantity,n_genes=2000,2000,2000,1,29.4,multiome,ATAC
0.09191253117892864,0.8407220216606497,-3.417771844164941,-3.3274943486198576,0.6207991019580955,0.2475812274368231,quantity,n_genes=2000,2000,2000,2,29.9,multiome,ATAC
0.07210102043393903,0.8255234657039712,-3.648066952522113,-3.584278215497026,0.8746178487904148,0.164043321299639,quantity,n_genes=13431,all,13431,0,146.7,multiome,ATAC
0.063904467352359,0.871552346570397,-3.6327587263147705,-3.5831501417803486,0.8566951455383862,0.16584837545126355,quantity,n_genes=13431,all,13431,1,146.5,multiome,ATAC
0.05404369784956294,0.8267148014440433,-3.657325965110373,-3.5937157636310206,0.8793633414825098,0.16310469314079423,quantity,n_genes=13431,all,13431,2,147.7,multiome,ATAC
